Drug Name,Therapeutic_Class,Alternative Count,SI Score,SRI Score,Market Status,Supply Chain Action
OF 100mg Tablet DT,ANTI INFECTIVES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Ketafast 10mg Injection,PAIN ANALGESICS,78,1.32,8.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
High Tears 0.18% Eye Drop,OPHTHAL,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tusqmed LS Syrup,RESPIRATORY,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Flamon 50mg/500mg Tablet,PAIN ANALGESICS,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Diabetirid GM 2mg/500mg Tablet PR,ANTI DIABETICS,373,6.3,3.7,Medium Flexibility,Regular Monitoring
Palife D 10mg/40mg Tablet,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Evorent 200mg Tablet SR,RESPIRATORY,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Fexotime M 10mg/120mg Tablet,RESPIRATORY,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Vildascan M Forte 1000mg/50mg Tablet,ANTI DIABETICS,37,0.62,9.38,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Blufee 100mg Injection,GYNAECOLOGICAL,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Caredic-M Tablet,PAIN ANALGESICS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
BETAFLAM OINTMENT,DERMA,2,0.03,9.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Micavin 250mg Injection,ANTI INFECTIVES,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glismin PM 2mg/500mg/15mg Tablet SR,ANTI DIABETICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Acithroc 500mg Tablet,ANTI INFECTIVES,266,4.49,5.51,Medium Flexibility,Regular Monitoring
Xor Gold 75mg/20mg/75mg Capsule,CARDIAC,61,1.03,8.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Disfast NP 100mg/500mg Tablet,PAIN ANALGESICS,77,1.3,8.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rabicro D Capsule SR,GASTRO INTESTINAL,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Innotubilin 80mg Injection,ANTI NEOPLASTICS,23,0.39,9.61,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Aclomid MR 100mg/325mg/250mg Tablet,PAIN ANALGESICS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Isomet-M Nasal Spray,RESPIRATORY,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Lamitel-AMH Tablet,CARDIAC,51,0.86,9.14,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Greemox DX 250mg/250mg Capsule,ANTI INFECTIVES,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Rofejet 25mg Injection,PAIN ANALGESICS,102,1.72,8.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lulizol Lotion,DERMA,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Acegrow FM 10mg/120mg/200mg Tablet,RESPIRATORY,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Andep-CD Tablet,GASTRO INTESTINAL,58,0.98,9.02,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Restyl 0.5mg Tablet SR,NEURO CNS,4,0.07,9.93,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Apitase Syrup,VITAMINS MINERALS NUTRIENT,379,6.4,3.6,Medium Flexibility,Regular Monitoring
TTCab Tablet,GYNAECOLOGICAL,377,6.37,3.63,Medium Flexibility,Regular Monitoring
Gatrig 0.3% Eye Drop,OPHTHA,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Mobiride 200mg Capsule SR,PAIN ANALGESICS,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Genxcet-M Tablet,RESPIRATORY,41,0.69,9.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vogra 100mg Tablet,SEX STIMULANTS REJUVENATORS,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ofelovir 200mg Tablet,ANTI INFECTIVES,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Novogesic P Tablet,PAIN ANALGESICS,31,0.52,9.48,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ventucof Syrup,RESPIRATORY,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Trisulfose DS 800mg/160mg Tablet,ANTI INFECTIVES,76,1.28,8.72,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Levosiz Tablet,RESPIRATORY,34,0.57,9.43,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lonart 20mg/120mg Tablet DT,ANTI MALARIAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Erotex-TH Tablet,PAIN ANALGESICS,85,1.44,8.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glimtoss 0.5mg/500mg Tablet,ANTI DIABETICS,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Razzpro-D Capsule SR,GASTRO INTESTINAL,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Chimarin Syrup,GASTRO INTESTINAL,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
StayHappi Bisoprolol 5mg Tablet,CARDIAC,44,0.74,9.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tensaril 25mg Tablet,NEURO CNS,31,0.52,9.48,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Xenafaxin Plus 50 Tablet ER,NEURO CNS,79,1.33,8.67,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Levotrax M 5mg/10mg Tablet,RESPIRATORY,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Jaklon 25mg Injection,HORMONE,102,1.72,8.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rabegard DSR 30 mg/20 mg Capsule,GASTRO INTESTINAL,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Wel Top 5% Cream,DERMA,253,4.27,5.73,Medium Flexibility,Regular Monitoring
Talendep Plus Tablet,NEURO CNS,53,0.9,9.1,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rabewell-DSR Capsule,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Genericart Propranolol 40mg Tablet,CARDIAC,16,0.27,9.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ricorab 20 Tablet,GASTRO INTESTINAL,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glimivance M Forte 4mg/1000mg Tablet PR,ANTI DIABETICS,83,1.4,8.6,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Deflet 6 Tablet,HORMONE,26,0.44,9.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Aqualube Eye Drop,OPHTHAL,3,0.05,9.95,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Onerab D 30mg/20mg Capsule SR,GASTRO INTESTINAL,59,1.0,9.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Stamp DSR 30mg/40mg Capsule,GASTRO INTESTINAL,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Jdron S 1000mg/500mg Injection,ANTI INFECTIVES,42,0.71,9.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
C ZID  INJECTION 1 GM,ANTI INFECTIVES,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ustat 10mg Tablet,CARDIAC,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Melo 15mg Tablet,PAIN ANALGESICS,475,8.02,1.98,High Flexibility (Safe),Lean Inventory (Low Risk)
Efoxim 100mg Tablet,ANTI INFECTIVES,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Thicoure-TH4 Tablet,PAIN ANALGESICS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Fasigyn 500mg Tablet,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Vyogoes GM Tablet,ANTI DIABETICS,478,8.07,1.93,High Flexibility (Safe),Lean Inventory (Low Risk)
Lactusan Syrup,GASTRO INTESTINAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Sairaat 10mg Tablet,SEX STIMULANTS REJUVENATOR,11,0.19,9.81,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gto 200 mg/500 mg Tablet,GASTRO INTESTINAL,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Quser XL 300 Tablet PR,NEURO CNS,37,0.62,9.38,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Febuly 40 Tablet,PAIN ANALGESICS,29,0.49,9.51,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Setmax 25 Tablet,NEURO CNS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Mofloren BF Eye Drop,OPHTHA,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Sizopride 200 Tablet,NEURO CNS,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Insu-GM1 Tablet ER,ANTI DIABETICS,25,0.42,9.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Amitag 10mg Tablet,NEURO CNS,49,0.83,9.17,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vrimika 100mg Injection,ANTI INFECTIVES,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Wagon H 40mg/12.5mg Tablet,CARDIAC,374,6.32,3.68,Medium Flexibility,Regular Monitoring
DICLOMAC GEL,PAIN ANALGESICS,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Jupiros-F Tablet,CARDIAC,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Vincalem 2mg Tablet,NEURO CNS,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Accurate 20mg Soft Gelatin Capsule,DERMA,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sofrahext Cream,DERMA,10,0.17,9.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Isotron 20mg Soft Gelatin Capsule,DERMA,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Cefocot 1000mg Injection,ANTI INFECTIVES,24,0.41,9.59,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hysafe 500 Injection,GYNAECOLOGICAL,36,0.61,9.39,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nemiheal Gel,DERMA,6,0.1,9.9,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Etorax 90mg Tablet,PAIN ANALGESICS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Maxpan 40mg Injection,GASTRO INTESTINAL,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Wixiclav 500mg/125mg Tablet,ANTI INFECTIVES,377,6.37,3.63,Medium Flexibility,Regular Monitoring
Sonal 30 Tablet,NEURO CNS,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Waldoclap 75mg Tablet,BLOOD RELATED,30,0.51,9.49,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rably LSR 75mg/20mg Tablet,GASTRO INTESTINAL,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Dexly 5mg Tablet,RESPIRATORY,83,1.4,8.6,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Etizoram-P Tablet,NEURO CNS,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Etrosa MR 60mg/4mg Tablet,PAIN ANALGESICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Eciclo SP 100mg/325mg/15mg Tablet,PAIN ANALGESICS,71,1.2,8.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Futrizole 1% Dusting Powder,DERMA,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Venidol 650 Tablet,PAIN ANALGESICS,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Prankof Syrup,RESPIRATORY,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Asopan-DSR Capsule,GASTRO INTESTINAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Matium SR 450 Tablet,NEURO CNS,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Sinovil Tablet,RESPIRATORY,56,0.95,9.05,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Emetant-IV Injection,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Lormef Spas 10mg/250mg Tablet,PAIN ANALGESICS,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vomgud 4mg Tablet,GASTRO INTESTINAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Sizz O Oral Suspension,GASTRO INTESTINAL,49,0.83,9.17,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Loset H 50mg/12.5mg Tablet,CARDIAC,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
C Pram 10mg Tablet,NEURO CNS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Cocoryl-Xl 5mg/75mg Tablet,RESPIRATORY,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Estomed-LS Tablet,NEURO CNS,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Stenzol 40 Injection,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Kyomol 1000mg Infusion,PAIN ANALGESICS,31,0.52,9.48,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vantil 200mg Tablet DT,ANTI INFECTIVES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Difozin 5mg Tablet,ANTI DIABETICS,36,0.61,9.39,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Iniflox Suspension,GASTRO INTESTINAL,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Kufvina-LS Syrup Sugar Free,RESPIRATORY,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Simvotin EZ 10 mg/10 mg Tablet,CARDIAC,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Urosic 300mg Tablet,GASTRO INTESTINAL,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Linkos 600mg Tablet,ANTI INFECTIVES,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Cifran Eye/Ear Drops,OPHTHAL OTOLOGICALS,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Etorgesic TH 60mg/4mg Tablet,PAIN ANALGESICS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Kosemica 100mg Injection,ANTI INFECTIVES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Hynan 25mg Tablet,RESPIRATORY,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tantica H 40mg/12.5mg Tablet,CARDIAC,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Qufline BR Syrup,RESPIRATORY,85,1.44,8.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Zydip Lotion,DERMA,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Koltus M Kid 2.5 mg/4 mg Tablet,RESPIRATORY,10,0.17,9.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Elicef 100mg Tablet DT,ANTI INFECTIVES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Olizon 500mg Injection,ANTI INFECTIVES,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
LZ M 5mg/10mg Tablet,RESPIRATORY,76,1.28,8.72,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Emtek LC 5mg/10mg Tablet,RESPIRATORY,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Inlock DM 10mg/20mg Capsule,GASTRO INTESTINAL,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rabbifor 20mg Tablet,GASTRO INTESTINAL,49,0.83,9.17,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nipocin 100mg Injection,ANTI INFECTIVES,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Duolin Forte Rotacap,RESPIRATORY,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Glumit 600mg Injection,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Vertipod 100mg Oral Suspension,ANTI INFECTIVES,161,2.72,7.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
BP Tel AM 40 mg/5 mg Tablet,CARDIAC,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Ingahist 4mg Tablet,RESPIRATORY,128,2.16,7.84,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Epnone 25mg Tablet,CARDIAC,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Kolzep Plus 20 mg/5 mg Tablet,NEURO CNS,85,1.44,8.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Jemorab L 75mg/20mg Capsule SR,GASTRO INTESTINAL,132,2.23,7.77,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Blezin 5 Tablet,RESPIRATORY,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Yorimeth P 1500mcg/75mg Tablet SR,NEURO CNS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Sitawok 100 Tablet,ANTI DIABETICS,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Glibest MP 1mg/500mg/15mg Tablet SR,ANTI DIABETICS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Cugrel A 75mg/75mg Tablet,BLOOD RELATE,97,1.64,8.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rabby D 10mg/20mg Tablet,GASTRO INTESTINAL,74,1.25,8.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bisofig 5mg Tablet,CARDIAC,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Slvrgen Cream,HORMONE,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Panflo DSR 30mg/40mg Tablet,GASTRO INTESTINAL,100,1.69,8.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Coniderm FB Cream,DERMA,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Pantovil CT Capsule SR,GASTRO INTESTINAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Mivocob P 750mcg/75mg Capsule,NEURO CNS,14,0.24,9.76,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Itocin 0.3% Eye Drop,OPHTHAL OTOLOGICAL,13,0.22,9.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Artrin-L Tablet,ANTI MALARIAL,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Setsibo 400 Tablet,GASTRO INTESTINAL,59,1.0,9.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ubercid Tablet,GASTRO INTESTINAL,8,0.14,9.86,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Metoclop Tablet,GASTRO INTESTINAL,33,0.56,9.44,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sonamax 500mg Tablet,OPHTHAL,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Artiflex TH 100mg/8mg Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Trix-DSR Capsule,GASTRO INTESTINAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Ondihex 4mg Tablet,GASTRO INTESTINAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Fordcef 50mg Dry Syrup,ANTI INFECTIVES,13,0.22,9.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rabotix 20mg Tablet,GASTRO INTESTINAL,54,0.91,9.09,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Oflowin Tablet,ANTI INFECTIVES,54,0.91,9.09,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Xprodox 100mg Tablet DT,ANTI INFECTIVES,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Bilamove M 20mg/10mg Tablet,RESPIRATORY,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Puregest 100mg Capsule,GYNAECOLOGICAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Forsemer 800mg Tablet,BLOOD RELATE,78,1.32,8.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gaticin 400mg Tablet,GASTRO INTESTINAL,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lisr 400mg Tablet SR,NEURO CNS,52,0.88,9.12,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Headwell D 500mg/10mg Tablet,PAIN ANALGESICS,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Brutzox Gel,PAIN ANALGESICS,585,9.88,0.12,High Flexibility (Safe),Lean Inventory (Low Risk)
PIL Head Lice Shampoo Free Lice Comb,DERMA,395,6.67,3.33,Medium Flexibility,Regular Monitoring
Ibithral 200 Rediuse Oral Suspension,ANTI INFECTIVES,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Painak SP 100mg/500mg/15mg Tablet,PAIN ANALGESICS,58,0.98,9.02,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nes Forte Tablet,PAIN ANALGESICS,124,2.09,7.91,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pantocure-DSR Capsule,GASTRO INTESTINAL,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ladyboon 10mg Tablet,GYNAECOLOGICAL,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ulozet 30mg Capsule,NEURO CNS,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Icosar 25mg Tablet,CARDIAC,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Fintab 100mg/325mg Tablet,PAIN ANALGESICS,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fordril D Syrup,RESPIRATORY,97,1.64,8.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Diabnerve PM Tablet SR,NEURO CNS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Kangesic 100mg/325mg Tablet,PAIN ANALGESICS,97,1.64,8.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Farozum 200 Tablet,ANTI INFECTIVES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Tripzeen D Tablet,PAIN ANALGESICS,97,1.64,8.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vomishunt 8mg Tablet MD,GASTRO INTESTINAL,10,0.17,9.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Emeecef 100mg Dry Syrup,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Pricol CF 30mg/500mg Tablet,PAIN ANALGESICS,82,1.39,8.61,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fexolix 180mg Tablet,RESPIRATORY,35,0.59,9.41,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Atocor Gold 20 Capsule,CARDIAC,24,0.41,9.59,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dexacort N Eye Ointment,OPHTHAL OTOLOGICAL,587,9.92,0.08,High Flexibility (Safe),Lean Inventory (Low Risk)
